Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MOTO1,464.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,MOTO2,464.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,MOTO3,467.762500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,MOTO4,467.812500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,MOTO5,467.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,MOTO6,467.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,MOTO7,467.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,MOTO8,467.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,MOTO9,461.037500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,MOTO10,461.062500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,MOTO11,461.087500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,MOTO12,461.112500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,MOTO13,461.137500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,MOTO14,461.162500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,MOTO15,461.187500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,MOTO16,461.212500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,MOTO17,461.237500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,MOTO18,461.262500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,MOTO19,461.287500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,MOTO20,461.312500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,MOTO21,461.337500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,MOTO22,461.362500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,MOTO23,462.762500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,MOTO24,462.787500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,MOTO25,462.812500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,MOTO26,462.837500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,MOTO27,462.862500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,MOTO28,462.887500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,MOTO29,462.912500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,MOTO30,464.487500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,MOTO31,464.512500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,MOTO32,464.537500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,MOTO33,464.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
34,MOTO34,466.037500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
35,MOTO35,466.062500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
36,MOTO36,466.087500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
37,MOTO37,466.112500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
38,MOTO38,466.137500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
39,MOTO39,466.162500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
40,MOTO40,466.187500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
41,MOTO41,466.212500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
42,MOTO42,466.237500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
43,MOTO43,466.262500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
44,MOTO44,466.287500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
45,MOTO45,466.312500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
46,MOTO46,466.337500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
47,MOTO47,466.362500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
48,MOTO48,467.787500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
49,MOTO49,467.837500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
50,MOTO50,467.862500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
51,MOTO51,467.887500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
52,MOTO52,467.912500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
53,MOTO53,469.487500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
54,MOTO54,469.512500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
55,MOTO55,469.537500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
56,MOTO56,469.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
